segment_id,BEAS-2B half life (h),BEAS-2B log2 steady state mRNA,Jurkat log2 steady state mRNA,WiDr log2 steady state mRNA
CN1_000582,2.18,-0.040,-0.194,-0.698
CN1_000583,3.31,0.232,0.602,0.509
CN1_000584,2.99,0.032,0.355,-0.073
CN1_000585,2.30,0.333,-0.304,-0.387
CN1_000586,3.10,0.432,0.276,0.314
CN1_000587,4.13,0.548,0.537,-0.222
CN1_000588,nd,nd,nd,nd
CN1_000589,nd,0.251,0.133,0.835
CN1_000590,2.54,-0.836,-0.456,0.409
CN1_000591,2.95,0.830,0.060,0.665
CN1_000592,nd,-0.269,0.555,0.425
CN1_000593,2.49,0.092,0.298,0.183
CN1_000594,2.19,-0.273,0.183,-0.112
CN1_000595,3.55,0.043,0.132,0.808
CN1_000596,nd,0.388,0.893,1.895
CN1_000597,2.31,-0.040,-0.249,0.257
CN1_000598,nd,-0.079,2.392,2.314
CN1_000599,nd,0.052,0.417,0.226
CN1_000600,nd,0.541,1.593,3.329
CN1_000601,2.80,0.287,-0.095,-0.956
CN1_000602,nd,-0.383,0.795,2.318
CN1_000603,2.13,0.047,0.185,0.187
CN1_000604,1.93,-0.094,-0.520,-0.956
CN1_000605,2.95,-1.324,-1.212,-2.379
CN1_000606,2.71,0.440,0.019,0.558
CN1_000607,3.21,-0.528,-0.173,-0.051
CN1_000608,nd,0.117,0.367,1.978
CN1_000609,nd,0.303,1.529,2.338
CN1_000610,nd,0.751,1.703,1.889
CN1_000611,2.97,0.687,0.312,0.347
CN1_000612,2.24,-0.284,-0.391,-0.831
CN1_000613,nd,0.255,0.688,0.830
CN1_000614,2.46,0.184,-0.778,-0.351
CN1_000615,nd,nd,nd,nd
CN1_000616,nd,0.178,0.049,0.193
CN1_000617,1.80,0.034,-0.813,-1.044
CN1_000618,2.76,0.296,0.201,0.180
CN1_000619,2.36,0.065,0.319,0.042
CN1_000620,1.99,-0.736,0.661,0.280
CN1_000621,nd,0.598,0.598,1.703
CN1_000622,2.15,-0.045,-0.196,-0.546
CN1_000623,nd,-0.549,1.120,1.520
CN1_000624,nd,nd,nd,nd
CN1_000625,1.90,-0.213,-0.336,-0.929
CN1_000626,2.66,0.505,0.551,0.618
CN1_000627,2.47,0.193,-0.660,-0.853
CN1_000628,nd,0.320,1.010,1.162
CN1_000629,nd,-1.761,1.324,1.598
CN1_000630,3.48,0.589,1.178,1.952
CN1_000631,1.81,-0.143,-0.166,-0.541
CN1_000632,2.14,-0.445,-0.943,-2.297
CN1_000633,nd,nd,nd,-0.291
CN1_000634,1.62,-1.126,-0.813,-0.982
CN1_000635,1.81,-0.039,0.178,-0.133
CN1_000636,1.63,-0.679,-0.529,-1.386
CN1_000637,1.93,nd,nd,nd
CN1_000638,2.52,0.026,0.175,0.323
CN1_000639,2.65,-1.227,-0.893,-0.774
CN1_000640,2.70,0.127,0.280,0.330
CN1_000641,2.35,0.045,0.000,-0.294
CN1_000642,nd,-0.526,-1.307,-1.007
CN1_000643,1.91,-0.079,-0.238,0.153
CN1_000644,2.69,0.319,-0.324,-0.141
CN1_000645,1.71,-0.415,-0.285,-0.027
CN1_000646,nd,-1.517,2.627,1.463
CN1_000647,3.64,0.222,0.449,0.249
CN1_000648,2.48,-0.340,0.154,-0.683
CN1_000649,2.13,0.371,0.229,0.089
CN1_000650,nd,-0.201,0.684,0.964
CN1_000651,3.28,-0.080,-0.318,0.701
CN1_000652,nd,nd,nd,4.939
CN1_000653,nd,nd,nd,nd
CN1_000654,nd,0.837,0.472,0.661
CN1_000655,1.84,-0.798,-0.484,-0.926
CN1_000656,1.69,-0.755,-0.326,-0.997
CN1_000657,1.94,-0.720,-0.624,-0.980
CN1_000658,1.60,-0.513,-0.752,-1.337
CN1_000659,2.66,-0.960,-1.163,-1.996
CN1_000660,3.09,-0.722,0.064,0.116
CN1_000661,nd,1.168,2.180,3.376
CN1_000662,2.20,-0.186,-0.353,-0.351
CN1_000663,3.32,0.554,0.753,0.479
CN1_000664,2.51,0.025,-0.503,-0.624
CN1_000665,nd,nd,nd,nd
CN1_000666,nd,0.073,0.678,0.708
CN1_000667,3.34,0.542,0.588,1.481
CN1_000668,3.54,0.973,1.505,2.085
CN1_000669,1.81,-0.694,-0.634,-1.329
CN1_000670,nd,0.099,0.102,0.918
CN1_000671,nd,0.432,0.332,1.099
CN1_000672,nd,0.657,1.011,1.146
CN1_000673,2.82,0.264,1.010,1.312
CN1_000674,nd,0.319,0.597,1.514
CN1_000675,nd,-0.060,1.223,1.726
CN1_000676,2.77,0.095,0.333,-0.231
CN1_000677,2.10,0.196,-0.330,-0.859
CN1_000678,2.92,0.277,0.951,1.882
CN1_000679,3.56,-0.310,-0.862,-0.634
CN1_000680,nd,0.104,2.713,4.204
CN1_000681,3.75,0.804,1.663,2.663
CN1_000682,2.66,0.295,0.222,0.677
CN1_000683,nd,0.144,0.721,0.370
CN1_000684,3.73,0.851,0.582,1.386
CN1_000685,2.71,0.062,0.451,0.069
CN1_000686,2.17,0.063,-0.065,-0.837
CN1_000687,nd,-0.502,-0.074,0.414
CN1_000688,nd,0.040,0.586,1.271
CN1_000689,2.43,-0.342,0.085,-0.505
CN1_000690,nd,nd,nd,nd
CN1_000691,nd,-0.189,0.485,0.710
CN1_000692,2.76,-0.481,0.503,0.282
CN1_000693,2.46,0.138,0.201,0.204
CN1_000694,2.25,0.158,0.035,0.020
CN1_000695,nd,0.645,1.726,2.081
CN1_000696,1.87,0.065,0.122,0.603
CN1_000697,2.06,-0.527,-0.334,-0.809
CN1_000698,3.49,0.339,0.875,0.994
CN1_000699,1.85,-0.234,0.342,0.324
CN1_000700,3.05,-0.246,-0.025,0.594
CN1_000701,2.74,0.105,0.361,0.819
CN1_000702,1.42,-0.830,-0.793,-1.365
CN1_000703,nd,-0.483,2.901,3.489
CN1_000704,1.89,-0.477,-0.671,-2.192
CN1_000705,2.70,0.011,-0.058,-0.939
CN1_000706,2.78,0.296,0.135,0.071
CN1_000707,nd,0.379,0.854,1.852
CN1_000708,2.37,0.039,-0.209,-0.422
CN1_000709,2.89,0.147,0.036,0.324
CN1_000710,nd,-0.371,-0.640,-0.738
CN1_000711,nd,0.643,0.584,0.450
CN1_000712,2.18,-0.101,-0.239,0.070
CN1_000713,nd,nd,nd,nd
CN1_000714,nd,0.542,0.499,0.896
CN1_000715,2.60,0.012,0.045,-0.430
CN1_000716,2.72,-0.026,-0.109,0.461
CN1_000717,2.73,-0.503,-0.741,-0.400
CN1_000718,nd,-0.293,-0.237,-0.042
CN1_000719,nd,0.614,0.898,2.098
CN1_000720,nd,0.441,0.892,0.651
CN1_000721,2.92,0.509,0.814,1.009
CN1_000722,nd,-1.604,-0.735,-0.021
CN1_000723,nd,-1.352,-1.921,-1.744
CN1_000724,nd,0.023,0.522,0.875
CN1_000725,2.46,-0.211,-0.520,-0.882
CN1_000726,2.41,-0.173,0.022,-0.483
CN1_000727,3.02,0.039,0.211,0.658
CN1_000728,2.46,-0.100,-0.238,-0.866
CN1_000729,nd,0.047,0.348,0.293
CN1_000730,3.04,-0.244,0.256,0.686
CN1_000731,2.16,0.306,-0.208,-0.271
CN1_000732,2.90,0.296,0.586,1.014
CN1_000733,nd,0.399,0.507,0.860
CN1_000734,1.86,-0.160,-0.208,-0.514
CN1_000735,nd,0.101,0.618,1.035
CN1_000736,1.83,-0.365,-0.683,-1.256
CN1_000737,2.99,0.139,0.744,1.114
CN1_000738,nd,0.151,-0.144,0.787
CN1_000739,2.78,-0.156,-0.039,-0.535
CN1_000740,2.06,-0.198,-0.575,-1.553
CN1_000741,3.10,0.402,0.232,0.472
CN1_000742,nd,0.530,0.477,1.306
CN1_000743,1.86,0.265,-0.118,0.025
CN1_000744,1.75,-0.516,-0.531,-1.868
CN1_000745,nd,0.427,0.896,0.415
CN1_000746,nd,0.637,1.195,1.654
CN1_000747,2.46,-0.114,0.392,0.399
CN1_000748,nd,-0.692,1.235,1.598
CN1_000749,2.03,-0.143,0.133,0.190
CN1_000750,2.33,-0.071,0.069,0.154
CN1_000751,nd,0.154,0.675,0.370
CN1_000752,2.68,0.666,-0.052,-0.248
CN1_000753,2.35,0.072,-0.483,-0.686
CN1_000754,nd,0.267,0.414,0.590
CN1_000755,2.26,-0.160,-0.189,-0.629
CN1_000756,nd,-0.129,1.331,1.159
CN1_000757,nd,-0.640,-0.398,-0.508
CN1_000758,nd,0.290,1.191,1.599
CN1_000759,nd,0.430,nd,2.244
CN1_000760,nd,-0.651,-0.461,-0.371
CN1_000761,2.46,0.175,-0.474,-0.718
CN1_000762,2.46,-0.180,-0.105,0.340
CN1_000763,nd,0.182,0.422,1.705
CN1_000764,nd,0.715,1.108,2.323
CN1_000765,1.94,-0.111,-0.996,-0.689
CN1_000766,1.82,0.051,-0.877,0.002
CN1_000767,3.39,0.793,0.291,0.508
CN1_000768,nd,0.240,0.738,1.755
CN1_000769,1.80,-0.181,-0.530,-1.418
CN1_000770,3.22,0.396,0.891,0.077
CN1_000771,1.76,-1.147,-0.772,-1.571
CN1_000772,nd,0.392,0.459,1.725
CN1_000773,nd,0.911,3.467,4.629
CN1_000774,2.77,0.215,0.168,0.612
CN1_000775,2.41,-0.147,0.676,1.384
CN1_000776,2.53,0.163,0.366,-0.091
CN1_000777,2.01,-0.144,-0.227,-0.784
CN1_000778,1.60,0.060,-0.406,-1.031
CN1_000779,1.85,-0.746,-0.614,-1.665
CN1_000780,2.06,-1.117,-1.242,-1.999
CN1_000781,4.11,-1.374,-1.765,-2.601
CN1_000782,nd,0.483,0.596,1.855
CN1_000783,3.08,0.598,0.484,0.236
CN1_000784,2.66,0.107,-0.154,-0.654
CN1_000785,2.80,0.090,0.345,0.253
CN1_000786,4.24,0.548,0.947,2.080
CN1_000787,3.13,-0.264,0.401,0.509
CN1_000788,nd,0.224,-0.211,1.124
CN1_000789,nd,0.369,0.098,0.360
CN1_000790,2.26,0.156,-0.201,-0.589
CN1_000791,2.35,0.060,-0.159,-0.601
CN1_000792,2.94,-0.009,0.542,0.355
CN1_000793,1.54,-1.414,0.034,0.987
CN1_000794,2.16,-0.330,-0.714,-1.070
CN1_000795,1.76,-0.691,-0.324,-1.785
CN1_000796,3.00,0.019,-0.225,-0.266
CN1_000797,2.35,-0.023,0.247,-0.058
CN1_000798,2.95,0.036,-0.063,-0.273
CN1_000799,2.72,0.084,0.380,0.677
CN1_000800,nd,0.278,0.215,0.330
CN1_000801,nd,-0.165,0.326,0.330
CN1_000802,nd,-0.096,0.725,1.303
CN1_000803,nd,0.003,0.372,0.798
CN1_000804,nd,0.304,nd,1.053
CN1_000805,2.76,0.076,-0.043,-0.146
CN1_000806,2.88,-0.022,-0.337,0.452
CN1_000807,3.34,-0.120,-0.526,-0.673
CN1_000808,nd,-0.822,-1.277,-1.068
CN1_000809,3.09,0.466,0.342,0.047
CN1_000810,2.74,0.022,0.071,0.274
CN1_000811,1.95,-0.433,0.478,0.163
CN1_000812,2.20,-0.143,-0.441,-0.832
CN1_000813,2.28,-0.137,-0.287,-0.662
CN1_000814,3.07,0.332,0.421,0.492
CN1_000815,nd,-0.540,1.484,0.722
CN1_000816,nd,0.112,0.575,0.491
CN1_000817,2.75,-0.165,-0.203,-0.435
CN1_000818,2.56,-0.031,-0.127,-1.139
CN1_000819,3.09,0.432,0.507,0.954
CN1_000820,nd,-0.023,0.377,1.509
CN1_000821,nd,0.255,1.183,1.923
CN1_000822,2.77,0.130,0.113,-0.130
CN1_000823,nd,-0.032,0.091,0.441
CN1_000824,2.10,-0.291,-0.254,-1.083
CN1_000825,nd,nd,nd,nd
CN1_000826,3.17,0.402,0.331,0.527
CN1_000827,2.71,0.130,0.386,-0.061
CN1_000828,2.94,0.612,0.852,1.559
CN1_000829,nd,0.062,1.139,1.600
CN1_000830,1.77,nd,nd,nd
CN1_000831,3.24,-0.914,-1.296,-2.026
CN1_000832,2.01,-0.859,-0.488,-0.676
CN1_000833,1.98,nd,,
CN1_000834,2.21,0.041,-0.666,-1.499
CN1_000835,2.61,0.215,-0.114,-0.910
CN1_000836,2.06,-0.517,-0.736,-0.967
CN1_000837,2.05,0.063,-0.529,-0.499
CN1_000838,nd,0.317,-0.047,0.356
CN1_000839,3.26,-0.404,-0.393,-0.377
CN1_000840,2.93,0.047,0.125,0.205
CN1_000841,2.64,0.449,0.140,-0.089
CN1_000842,nd,nd,nd,1.262
CN1_000843,nd,-0.199,-0.272,0.235
CN1_000844,1.84,-0.561,-0.743,-2.039
CN1_000845,2.15,nd,nd,nd
CN1_000846,1.99,-0.108,-0.567,-1.323
CN1_000847,1.92,0.128,-0.573,-1.004
CN1_000848,2.74,-0.061,-0.776,-0.256
CN1_000849,nd,-0.440,nd,3.985
CN1_000850,2.65,0.238,-0.050,-0.029
CN1_000851,2.36,-0.359,0.263,-0.028
CN1_000852,1.81,-0.440,-1.005,-0.663
CN1_000853,nd,nd,nd,nd
CN1_000854,2.89,-0.956,-0.784,0.168
CN1_000855,nd,nd,nd,nd
CN1_000856,nd,nd,nd,nd
CN1_000857,2.78,0.279,0.208,0.476
CN1_000858,2.26,-0.500,-0.959,-1.901
CN1_000859,2.74,0.524,0.370,0.481
CN1_000860,2.37,-0.245,0.545,-0.033
CN1_000861,nd,0.139,0.753,0.919
CN1_000862,2.95,0.502,0.260,0.388
CN1_000863,2.06,-0.216,-0.450,-1.030
CN1_000864,nd,0.768,1.346,2.402
CN1_000865,2.17,-0.220,-0.616,-3.123
CN1_000866,1.77,-0.460,-0.307,-1.012
CN1_000867,2.73,-0.050,-0.262,-0.054
CN1_000868,2.12,-0.617,-0.629,-1.338
CN1_000869,2.46,-0.474,-0.436,-1.802
CN1_000870,2.91,0.301,0.198,0.285
CN1_000871,1.97,-0.031,-0.033,0.373
CN1_000872,2.46,0.268,0.057,0.222
CN1_000873,2.53,0.149,0.314,0.674
CN1_000874,nd,-0.123,-0.649,-0.880
CN1_000875,2.87,0.539,0.008,-0.181
CN1_000876,3.99,0.399,0.480,0.462
CN1_000877,2.56,0.493,0.115,-0.407
CN1_000878,2.24,0.314,-0.270,-1.119
CN1_000879,2.33,-0.077,-0.624,-0.801
CN1_000880,2.12,-0.163,-0.323,-0.687
CN1_000881,2.70,-0.143,0.482,-0.569
CN1_000882,1.64,-0.688,-0.750,-1.826
CN1_000883,3.43,0.738,0.585,0.924
CN1_000884,nd,0.620,1.442,2.066
CN1_000885,3.31,0.235,0.503,0.762
CN1_000886,nd,0.003,-0.336,0.232
CN1_000887,1.83,-1.408,-0.997,-0.939
CN1_000888,3.17,-0.063,-0.527,-0.442
CN1_000889,2.52,-0.058,-0.231,-1.179
CN1_000890,3.35,0.912,0.807,1.076
CN1_000891,2.72,0.084,-0.129,-0.781
CN1_000892,1.66,-0.266,1.237,1.456
CN1_000893,2.66,0.021,0.389,-0.511
CN1_000894,2.25,0.249,-0.024,-0.248
CN1_000895,nd,0.050,0.392,1.490
CN1_000896,3.08,0.493,0.258,0.020
CN1_000897,nd,nd,1.264,0.892
CN1_000898,2.84,-0.081,-0.301,-0.262
CN1_000899,2.54,-0.106,-1.187,-1.566
CN1_000900,2.08,-0.127,-0.430,-1.259
CN1_000901,2.19,-0.125,-0.406,-1.162
CN1_000902,1.87,-0.360,-0.228,-0.097
CN1_000903,2.33,0.135,0.121,-0.303
CN1_000904,3.05,0.449,0.191,0.219
CN1_000905,3.12,0.494,0.578,0.714
CN1_000906,2.38,0.112,-0.378,-0.713
CN1_000907,2.24,0.331,-0.339,-0.485
CN1_000908,nd,-0.015,0.062,0.476
CN1_000909,1.46,-1.304,-0.930,-1.279
CN1_000910,3.23,0.291,1.330,2.334
CN1_000911,nd,0.430,0.790,1.244
CN1_000912,nd,0.244,1.129,1.547
CN1_000913,nd,0.066,0.278,0.964
CN1_000914,2.14,-0.270,0.472,-0.253
CN1_000915,2.95,-0.064,-0.052,-0.287
CN1_000916,2.34,-0.004,-0.645,-0.903
CN1_000917,2.63,-1.153,-1.134,-0.570
CN1_000918,2.25,-1.958,-1.945,-2.325
CN1_000919,nd,-0.621,0.154,0.267
CN1_000920,1.67,-0.608,-0.324,-1.261
CN1_000921,2.99,0.140,-0.030,-0.004
CN1_000922,1.98,-0.161,-0.215,-0.089
CN1_000923,2.89,0.110,0.369,0.651
CN1_000924,2.58,-0.081,-0.186,0.215
CN1_000925,3.56,-0.226,-1.074,-0.915
CN1_000926,2.77,-0.211,-0.204,0.057
CN1_000927,nd,0.272,0.439,0.621
CN1_000928,nd,-0.168,-0.108,-0.330
CN1_000929,2.87,-0.374,-0.736,-0.560
CN1_000930,nd,0.105,0.641,0.798
CN1_000931,2.77,-0.060,-0.374,-0.306
CN1_000932,2.85,0.591,0.271,0.843
CN1_000933,2.41,0.245,0.205,0.635
CN1_000934,nd,-0.200,0.278,1.736
CN1_000935,3.69,0.798,0.635,1.173
CN1_000936,2.89,0.416,0.393,0.704
CN1_000937,2.73,0.044,0.275,-0.243
CN1_000938,nd,-1.487,-1.147,1.342
CN1_000939,2.83,0.252,0.396,0.526
CN1_000940,2.77,-0.226,-0.212,-0.162
CN1_000941,nd,-0.645,nd,nd
CN1_000942,3.20,-0.162,0.070,0.145
CN1_000943,nd,-0.041,0.202,0.644
CN1_000944,2.15,-0.980,0.818,0.888
CN1_000945,2.25,-0.153,-0.277,-0.676
CN1_000946,1.86,-0.281,0.698,1.289
CN1_000947,2.07,-0.120,-0.246,-0.148
CN1_000948,2.94,0.076,0.561,1.753
CN1_000949,2.84,0.217,-0.159,-0.117
CN1_000950,2.56,-0.089,1.128,2.012
CN1_000952,2.78,-0.666,-0.464,-0.101
CN1_000953,nd,-0.845,1.350,3.050
CN1_000954,2.37,0.250,0.318,0.358
CN1_000955,nd,-0.128,0.404,0.093
CN1_000956,2.12,-0.055,-0.536,-1.222
CN1_000957,1.91,-0.273,-0.676,-1.902
CN1_000958,2.82,0.584,0.414,0.473
CN1_000959,2.58,0.167,0.763,0.694
CN1_000960,2.33,0.149,0.041,-0.563
CN1_000961,2.52,0.080,-0.193,-0.053
CN1_000962,1.82,-0.782,-0.674,-1.803
CN1_000963,2.65,-0.221,-0.316,-0.650
CN1_000964,2.17,0.084,0.052,-0.414
CN1_000965,2.99,0.172,0.740,0.619
CN1_000966,nd,-0.903,-0.388,0.109
CN1_000967,2.46,-0.091,-0.169,0.064
CN1_000968,2.83,-0.031,-0.100,-0.271
CN1_000969,2.36,-1.285,-0.990,-1.231
CN1_000970,2.25,-0.903,-0.711,-1.659
CN1_000971,2.17,-1.274,-1.442,-2.127
CN1_000972,2.44,-0.879,-1.133,-2.215
CN1_000973,1.89,-0.232,-0.391,-0.954
CN1_000974,2.01,-0.809,-1.247,-1.908
CN1_000975,nd,nd,nd,nd
CN1_000976,3.07,-0.102,0.163,0.533
CN1_000977,3.64,0.596,0.471,0.828
CN1_000978,2.19,-0.103,-0.264,-1.031
CN1_000979,2.38,-0.245,-0.475,-0.499
CN1_000980,1.91,-0.161,0.236,-0.141
CN1_000981,2.97,0.566,0.415,0.026
CN1_000982,nd,0.143,-0.237,0.200
CN1_000983,2.68,0.287,-0.229,-0.528
CN1_000984,2.27,-0.098,0.385,-0.010
CN1_000985,nd,0.217,0.972,1.205
CN1_000986,nd,nd,nd,2.824
CN1_000987,1.83,0.122,-0.480,-0.978
CN1_000988,1.98,-0.196,-0.497,-1.437
CN1_000989,2.15,-0.522,0.077,-0.458
CN1_000990,2.33,-0.365,0.508,0.608
CN1_000991,3.16,0.542,0.407,1.641
CN1_000992,3.14,0.680,0.607,1.415
CN1_000993,nd,nd,nd,nd
CN1_000994,2.92,0.387,0.132,0.004
CN1_000995,2.00,0.368,-0.435,-0.209
CN1_000996,1.82,-0.641,-0.581,-1.555
CN1_000997,nd,-0.219,0.466,0.334
CN1_000998,2.16,-0.043,-0.285,-0.282
CN1_000999,1.96,-0.390,-0.563,-1.371
CN1_001000,1.94,nd,nd,nd
CN1_001001,2.43,-0.370,-0.744,-1.044
CN1_001002,2.59,-0.089,-0.221,-0.941
CN1_001003,1.96,-0.302,-0.509,-0.723
CN1_001004,2.64,0.069,0.115,0.181
CN1_001005,nd,-0.073,1.560,2.319
CN1_001006,1.99,-0.310,-0.381,-0.827
CN1_001007,2.11,-0.028,-0.277,-0.574
CN1_001008,2.24,0.310,0.070,-0.375
CN1_001009,2.86,0.378,0.013,-0.033
CN1_001010,2.98,0.407,-0.013,0.086
CN1_001011,2.83,0.259,0.266,-1.404
CN1_001012,2.91,-0.260,0.611,0.958
CN1_001013,nd,-1.030,-0.802,0.023
CN1_001014,1.60,-0.939,-0.914,-2.007
CN1_001015,3.14,0.303,-0.190,0.261
CN1_001016,nd,-0.080,-0.343,-0.480
CN1_001017,1.89,-0.147,-0.617,-1.251
CN1_001018,1.76,-0.015,-0.417,-1.072
CN1_001019,2.13,-0.457,-0.527,-0.725
CN1_001020,2.46,0.204,-0.083,-0.548
CN1_001021,2.86,nd,nd,nd
CN1_001022,3.16,0.318,0.368,0.695
CN1_001023,1.74,-0.316,-0.885,-1.692
CN1_001024,2.04,-0.182,-0.710,-1.483
CN1_001025,2.14,nd,nd,nd
CN1_001026,2.19,-0.894,-1.079,-2.023
CN1_001027,3.17,0.183,0.123,0.579
CN1_001028,2.66,0.079,-0.423,-0.278
CN1_001029,nd,-0.801,1.080,-0.627
CN1_001030,nd,-0.243,0.727,1.628
CN1_001031,nd,-0.220,0.362,1.082
CN1_001032,nd,-0.056,-0.272,-0.226
CN1_001033,2.23,-0.192,-0.165,0.034
CN1_001034,1.68,-0.974,-0.717,-1.910
CN1_001035,1.89,-0.637,-0.916,-1.251
CN1_001036,3.15,0.421,0.468,0.102
CN1_001037,2.58,0.062,0.024,-0.369
CN1_001038,3.33,0.601,1.403,2.175
CN1_001039,2.23,0.024,-0.643,-0.212
CN1_001040,nd,0.369,0.452,1.040
CN1_001041,2.49,0.201,0.133,0.265
CN1_001042,3.59,-0.064,-0.623,0.248
CN1_001043,3.05,0.215,0.473,1.192
CN1_001044,2.22,-0.057,-0.338,-0.534
CN1_001045,nd,0.097,0.131,0.630
CN1_001046,1.94,-0.292,-0.120,-0.742
CN1_001047,nd,0.634,0.837,1.356
CN1_001048,3.63,0.129,0.681,1.180
CN1_001049,2.38,0.217,0.001,0.420
CN1_001051,2.08,0.016,-0.021,-0.562
CN1_001052,2.55,0.134,-0.226,-0.701
CN1_001053,1.76,-1.291,-0.603,-1.774
CN1_001054,nd,nd,nd,nd
CN1_001055,1.61,-0.138,-0.262,-1.039
CN1_001056,2.40,0.121,0.291,0.320
CN1_001057,2.16,-0.805,-0.953,-1.889
CN1_001058,2.69,-0.061,0.091,0.149
CN1_001059,3.25,0.435,1.839,2.665
CN1_001060,3.36,-0.204,0.256,1.279
CN1_001061,nd,nd,nd,nd
CN1_001062,nd,nd,nd,nd
CN1_001063,nd,-0.968,-0.611,-0.142
CN1_001064,2.37,0.093,-0.203,-0.046
CN1_001066,nd,nd,nd,nd
CN1_001067,2.95,0.346,0.155,0.057
CN1_001068,3.19,0.235,0.476,0.669
CN1_001069,2.43,0.142,-0.523,0.444
CN1_001070,2.01,-0.389,-0.320,-0.733
CN1_001071,2.23,-0.214,-0.461,-0.964
CN1_001072,2.79,0.388,0.890,1.494
CN1_001073,3.54,0.759,1.155,2.145
CN1_001074,nd,-0.181,-0.769,0.705
CN1_001075,1.98,-0.181,-1.583,-0.646
CN1_001076,1.63,-0.707,-0.660,-1.409
CN1_001077,2.55,-0.097,-0.106,-0.517
CN1_001078,1.88,-0.211,-0.364,-1.026
CN1_001079,2.94,-1.176,-1.079,-1.861
CN1_001080,2.09,-0.849,-0.770,-0.421
CN1_001081,2.15,-0.227,0.303,0.240
CN1_001082,2.90,0.114,-0.006,-0.810
CN1_001083,2.39,0.149,-0.142,-0.353
CN1_001084,1.78,-0.456,-1.190,-1.426
CN1_001085,2.24,-1.156,-1.799,-2.691
CN1_001086,2.63,-1.821,-1.457,-2.623
CN1_001087,2.30,-1.077,-1.625,-2.425
CN1_001088,1.95,-0.161,-0.659,-1.227
CN1_001089,1.81,-0.785,-0.872,-1.437
CN1_001090,2.37,-0.162,-0.327,-0.934
CN1_001091,1.96,-0.414,-0.409,-0.667
CN1_001092,2.04,-0.140,-0.563,-0.925
CN1_001093,nd,-0.261,2.186,3.077
CN1_001094,nd,-1.643,0.474,0.371
CN1_001095,1.83,-0.489,0.254,-0.194
CN1_001096,1.73,-0.854,-0.698,-1.797
CN1_001097,2.05,-0.285,-0.240,-0.315
CN1_001098,nd,0.491,0.959,2.217
CN1_001099,2.46,-0.062,-1.136,-1.730
CN1_001100,2.01,-0.442,-0.562,-1.156
CN1_001101,2.17,-0.038,-0.583,-1.242
CN1_001102,2.91,-1.615,-1.983,-2.015
CN1_001103,2.33,-0.801,-0.721,-1.126
CN1_001104,2.89,0.519,0.423,0.380
CN1_001105,nd,0.412,0.482,0.694
CN1_001106,nd,0.519,1.508,2.955
CN1_001107,3.17,-0.377,0.031,0.557
CN1_001108,1.86,-0.665,0.046,0.188
CN1_001109,2.55,0.407,0.144,-0.108
CN1_001110,2.90,0.367,0.310,0.614
CN1_001111,nd,nd,nd,nd
CN1_001112,nd,nd,nd,nd
CN1_001113,2.10,-0.100,0.182,0.026
CN1_001114,2.46,0.276,-0.179,0.094
CN1_001115,1.60,-0.414,-0.377,-0.111
CN1_001116,2.21,-0.231,-0.132,-0.657
CN1_001117,2.72,0.583,0.774,1.067
CN1_001118,2.76,0.362,0.275,-0.081
CN1_001119,2.89,0.278,0.407,0.211
CN1_001120,2.61,-0.272,0.500,-0.056
CN1_001121,2.83,-0.318,-0.362,-0.518
CN1_001122,nd,0.279,-0.527,-0.497
CN1_001123,2.36,0.147,-0.301,-1.230
CN1_001124,2.44,0.326,-0.517,0.056
CN1_001125,2.18,0.024,-0.611,-1.218
CN1_001126,nd,-0.267,-0.324,-0.511
CN1_001127,1.86,-0.835,-0.810,-1.259
CN1_001128,2.99,0.081,-0.124,-0.235
CN1_001129,1.71,-0.235,-0.419,-0.313
CN1_001130,nd,0.233,1.329,2.565
CN1_001131,3.00,0.350,0.398,1.414
CN1_001132,2.02,-0.257,-0.203,-0.356
CN1_001133,2.23,0.155,-0.419,-0.260
CN1_001134,2.46,-1.182,-1.550,-1.262
CN1_001135,2.78,0.114,-0.117,0.310
CN1_001136,2.81,0.130,-0.338,-0.094
CN1_001137,3.28,0.090,0.478,0.461
CN1_001138,3.17,0.548,0.439,1.098
CN1_001139,2.76,0.303,0.395,0.286
CN1_001140,2.31,-0.133,0.090,0.088
CN1_001141,2.54,0.138,0.426,0.475
CN1_001142,nd,0.322,1.055,1.460
CN1_001143,nd,0.000,0.359,0.519
CN1_001144,3.00,0.517,0.309,0.068
CN1_001145,2.06,0.042,0.132,-0.014
CN1_001146,nd,0.302,0.694,1.086
CN1_001147,3.02,0.494,0.533,0.607
CN1_001148,nd,0.203,1.164,1.650
CN1_001149,nd,-2.575,nd,-1.294
CN1_001150,2.87,-1.532,-2.358,-2.950
CN1_001151,2.08,-1.094,-0.707,-1.066
CN1_001152,2.44,0.095,0.248,0.191
CN1_001153,2.95,0.414,0.706,1.419
CN1_001154,1.96,-0.030,-0.448,-0.373
CN1_001155,nd,nd,nd,nd
CN1_001156,2.97,0.355,0.470,0.729
CN1_001157,2.70,0.032,-0.237,-0.938
CN1_001158,2.61,0.091,0.006,0.024
CN1_001159,2.72,-0.197,0.814,1.005
CN1_001160,2.02,-0.817,-0.387,-1.671
CN1_001161,2.78,-0.466,-1.156,-0.779
CN1_001162,1.86,-0.067,-0.440,-0.731
CN1_001163,3.01,0.461,0.326,0.192
CN1_001164,3.19,0.250,-0.577,0.743
CN1_001165,2.38,-0.073,0.235,0.383
